metaboliteName,formula,exactMass,pubchem_cid
Anatoxin A,C10H15NO,165.115364,431734
"(1R,2R)-3-Oxo-2-pentyl-cyclopentanehexanoic acid",C16H28O3,268.203846,16061079
"(1R,2S)-1,2-Dihydronaphthalene-1,2-diol",C10H10O2,162.06808,440294
"(1S,2R,4S)-Bornyl acetate",C12H20O2,196.14633,442460
"(1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol",C7H10O2,126.06808,440399
"(1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol",C12H12O2,188.08373,5459789
"(1S,2S)-3-Oxo-2-pentyl-cyclopentanebutanoic acid",C14H24O3,240.172545,16061081
(2-Chlorophenyl)diphenylmethane,C14H17ClO2,252.091708,14617879
"(2-cis,6-cis)-Farnesol",C15H26O,222.198365,1549107
"(2-cis,6-trans)-Farnesol",C15H26O,222.198365,1549108
(2-Naphthyl)methanol,C11H10O,158.073165,74128
"(2-trans,6-trans)-Farnesal",C15H24O,220.182715,5280598
"(20R,22R)-20,22-Dihydroxycholesterol",C27H46O3,418.344695,6453841
"(20S)-1alpha,20,25-Trihydroxyvitamin D3",C27H44O4,432.32396,5283754
(21-Methyl-8Z-pentatriacontene,C36H72,504.563401,56936079
"(24R)-1alpha,24,25-Trihydroxyvitamin D2",C28H44O4,444.32396,9547253
"(2R,3S)-Piscidic acid",C11H12O7,256.058305,120693
(2R)-3-sulfopropanediol,C3H8O5S,156.009244,49852441
"(2S,4S)-4-Amino-2-hydroxy-2-methylpentanedioic acid",C6H11NO5,177.063722,440894
"(2S,5S)-Methionine sulfoximine",C5H12N2O3S,180.056865,24755488
(2S)-Flavan-4-ol,C15H14O2,226.09938,439712
"(3beta,24R,24'R)-Fucosterol epoxide",C29H48O2,428.36543,440161
"(3E,6E)-alpha-Farnesene",C15H24,204.1878,5281516
"(3R,5S)-Fluvastatin",C24H26FNO4,411.184587,446155
(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA,C31H50N7O18P3S,933.214588,9543225
"(3S,4R)-3,4,5-Trihydroxy-2-keto-valeric acid",C5H8O6,164.032088,439852
"(3S,5S)-Carbapenam-3-carboxylic acid",C7H9NO3,155.058243,6337945
(3S)-11-cis-3-Hydroxyretinal,C20H28O2,300.20893,25229574
(3Z)-Phycoerythrobilin,C33H38N4O6,586.279135,5460416
"(4E,6E,d14:2) Sphingosine",C14H27NO2,241.204179,42608347
"(4E,8E,10E-d18:3) Sphingosine",C18H33NO2,295.251129,42608349
"(4E,8E,9Me-d19:2) Sphingosine",C19H37NO2,311.282429,10913955
"(4E,8E,d18:2) Sphingosine",C18H35NO2,297.266779,11220228
"(4E,8Z,d18:2) Sphingosine",C18H35NO2,297.266779,11993697
(5R)-Zopiclone,C17H17ClN6O3,388.105067,941731
"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoyl-CoA",C41H64N7O17P3S,1051.329234,56927904
"(6aR,11aR)-3,9-Dihydroxypterocarpan",C15H12O4,256.07356,162933
"(6S,9R)-Vomifoliol",C13H20O3,224.141245,5280462
(6S)-Dehydrovomifoliol,C13H18O3,222.125595,688492
"(8Z,d18:1) Sphingosine",C18H37NO2,299.282429,42608348
"(9Me,4E,8E,10E-d19:3) Sphingosine",C19H35NO2,309.266779,42608350
"(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid",C18H34O4,314.24571,5281030
(Ac)2-L-Lysyl-D-alanyl-D-alanine,C16H28N4O6,372.200885,152678
(Dimethylsulfonio)acetate,C4H8O2S,120.024502,160765
"(E,E)-2,4-Octadienal",C8H12O,124.088815,5283329
"(E,E)-Trichostachine",C16H17NO3,271.120844,636537
(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide,C11H8N2O5,248.043321,5280706
"(E)-2,3-Dihydroxybut-2-enedioic acid",C4H4O6,148.00079,54678503
(E)-3-(4-Hydroxyphenyl)-2-propenal,C9H8O2,148.05243,641301
(E)-4-(Trimethylammonio)but-2-enoate,C7H13NO2,143.094629,5462194
(E)-4-Stilbenol,C14H12O,196.088815,5284650
(E)-beta-Ocimene,C10H16,136.1252,5281553
(Methylthio)acetic acid,C3H6O2S,106.008852,75551
"(R,S,S)-Nicotianamine",C12H21N3O6,303.143037,13892427
(R)-2-Benzylsuccinic acid,C11H12O4,208.07356,444797
(R)-2-Methylimino-1-phenylpropan-1-ol,C10H13NO,163.099714,656502
"(R)-2,3-Dihydroxy-isovalerate",C5H10O4,134.05791,440279
(R)-4-Hydroxymandelonitrile beta-D-glucoside,C14H17NO7,311.100502,107721
(R)-4'-Phosphopantothenic acid,C9H18NO8P,299.077003,41635
(R)-Allantoin,C4H6N4O3,158.043991,439713
(R)-alpha-Campholenaldehyde,C10H16O,152.120115,1252759
(R)-alpha-Terpineol,C10H18O,154.135765,442501
(R)-Atropine,C17H23NO3,289.167794,637577
(R)-Dihydrolipoic acid,C8H16O2S2,208.059174,9834298
(R)-Nicotine,C10H14N2,162.115698,157672
(R)-Pantoic acid,C6H12O4,148.07356,439251
(R)-Piperazine-2-carboxylic acid,C5H10N2O2,130.074228,6558437
"(R)-Propane-1,2-diol",C3H8O2,76.05243,259994
(R)-Salsolinol,C10H13NO2,179.094629,7157331
(R)-Sulcatol,C8H16O,128.120115,20745
"(S,S)-Butane-2,3-diol",C4H10O2,90.06808,439888
(S)-1-Piperideine-6-carboxylic acid,C6H9NO2,127.063329,24771808
(S)-2-Acetolactate,C5H8O4,132.04226,440878
"(S)-2,3-Epoxysqualene",C30H50O,426.386165,5459811
"(S)-3-Amino-1,2-propanediol",C3H9NO2,91.063329,440902
(S)-3-Hydroxy-N-methylcoclaurine,C18H21NO4,315.147059,440591
(S)-3-Methyl-2-oxopentanoic acid,C6H10O3,130.062995,439286
(S)-4-Nonanolide,C9H16O2,156.11503,441574
(S)-5-Amino-3-oxohexanoate,C6H11NO3,145.073894,440077
(S)-6-Hydroxynicotine,C10H14N2O,178.110613,439383
(S)-9-Hydroxy-10-undecenoic acid,C11H20O3,200.141245,73242170
(S)-alpha-Terpineol,C10H18O,154.135765,443162
(S)-ATPA,C10H16N2O4,228.111008,447407
(S)-beta-Bisabolene,C15H24,204.1878,10104370
(S)-Canadine,C20H21NO4,339.147058,21171
(S)-Coclaurine,C17H19NO3,285.136494,160487
(S)-Homostachydrine,C8H15NO2,157.110279,441447
(S)-Lipoic acid,C8H14O2S2,206.043524,445125
